title;artist;year released;bpm;dur;artist type;top genre;liking
6 Foot 7 Foot;Lil Wayne;2011;79;249;Solo;hip hop;1
How To Love;Lil Wayne;2011;154;240;Solo;hip hop;1
Party Rock Anthem;LMFAO;2011;130;262;Duo;dance pop;1
Sexy And I Know It;LMFAO;2011;130;199;Duo;dance pop;1
The Show Goes On;Lupe Fiasco;2011;143;240;Solo;chicago rap;1
I Follow Rivers - The Magician Remix;Lykke Li;2021;122;280;Solo;art pop;0
Midnight City;M83;2011;105;241;Duo;french shoegaze;0
Donald Trump;Mac Miller;2011;163;166;Solo;hip hop;1
Buzzin Remix;Mann;2011;104;224;Solo;pop rap;1
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";Maroon 5;2010;128;201;Band;pop;1
Sure Thing;Miguel;2010;81;195;Solo;dance pop;0
When We Stand Together;Nickelback;2011;188;191;Band;alternative metal;0
Super Bass;Nicki Minaj;2010;127;200;Solo;dance pop;0
L.I.F.E.G.O.E.S.O.N.;Noah And The Whale;2011;82;228;Band;indie folk;0
Heart Skips a Beat (feat. Rizzle Kicks);Olly Murs;2011;111;202;Solo;dance pop;0
Good Life;OneRepublic;2009;95;253;Band;dance pop;1
Raise Your Glass;P!nk;2010;122;203;Solo;dance pop;1
Give Me Everything (feat. Ne-Yo Afrojack & Nayer);Pitbull;2011;129;252;Solo;dance pop;0
Hey Baby (Drop It to the Floor) (feat. T-Pain);Pitbull;2011;128;234;Solo;dance pop;0
Read All About It;Professor Green;2021;101;236;Solo;grime;0
The Adventures of Rain Dance Maggie;Red Hot Chili Peppers;2011;106;282;Band;alternative rock;0
S&M;Rihanna;2010;128;244;Solo;barbadian pop;0
We Found Love;Rihanna;2011;128;215;Solo;barbadian pop;0
What's My Name?;Rihanna;2010;100;263;Solo;barbadian pop;0
Down With The Trumpets;Rizzle Kicks;2011;115;187;Duo;uk hip hop;1
Loca People - Radio Edit;Sak Noel;2011;128;216;Solo;electro house;1
Love You Like A Love Song;Selena Gomez & The Scene;2011;117;188;Band;dance pop;0
Who Says;Selena Gomez & The Scene;2011;101;196;Band;dance pop;0
Sweat - Remix;Snoop Dogg;2011;130;196;Solo;g funk;1
Save The World;Swedish House Mafia;2011;127;213;Band;dance pop;0
Higher;Taio Cruz;2011;128;188;Solo;dance pop;0
If I Die Young;The Band Perry;2010;131;223;Band;contemporary country;0
Glad You Came;The Wanted;2011;127;198;Band;boy band;0
More - RedOne Jimmy Joker Remix;Usher;2010;125;220;Solo;atl hip hop;1
No Hands (feat. Roscoe Dash & Wale);Waka Flocka Flame;2010;131;264;Solo;atl hip hop;1
Black and Yellow;Wiz Khalifa;2011;164;218;Solo;dance pop;1
Roll Up;Wiz Khalifa;2011;125;228;Solo;dance pop;1
Skyfall;Adele;2012;76;286;Solo;british soul;0
Rumour Has It;Adele;2011;120;223;Solo;british soul;0
Years;Alesso;2013;128;195;Solo;dance pop;0
Too Close;Alex Clare;2011;126;257;Solo;modern alternative rock;0
Breezeblocks;alt-J;2012;150;227;Band;indie rock;0
R U Mine?;Arctic Monkeys;2012;97;200;Band;garage rock;1
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit;Asaf Avidan;2012;119;215;Solo;israeli pop;0
Levels - Radio Edit;Avicii;2011;126;200;Solo;dance pop;1
Silhouettes - Original Radio Edit;Avicii;2012;128;212;Solo;dance pop;1
212;Azealia Banks;2014;126;205;Solo;dance pop;0
So Good;B.o.B;2012;86;213;Solo;atl hip hop;0
Locked out of Heaven;Bruno Mars;2012;144;233;Solo;dance pop;0
It Will Rain;Bruno Mars;2011;150;258;Solo;dance pop;0
Feel So Close - Radio Edit;Calvin Harris;2012;128;206;Solo;dance pop;1
Let's Go (feat. Ne-Yo);Calvin Harris;2012;128;233;Solo;dance pop;1
We'll Be Coming Back (feat. Example);Calvin Harris;2012;128;234;Solo;dance pop;1
Call Me Maybe;Carly Rae Jepsen;2012;120;193;Solo;canadian pop;0
Blown Away;Carrie Underwood;2012;137;240;Solo;contemporary country;0
Want U Back;Cher Lloyd;2012;98;215;Solo;dance pop;0
Turn Up the Music;Chris Brown;2012;130;228;Solo;dance pop;1
Paradise;Coldplay;2011;140;279;Band;permanent wave;1
Princess of China;Coldplay;2011;85;239;Band;permanent wave;1
Turn Me On (feat. Nicki Minaj);David Guetta;2011;128;200;Solo;big room;0
In The Dark;DEV;2012;125;226;Solo;dance pop;0
Latch;Disclosure;2013;122;256;Duo;edm;1
Hot Right Now - Edit;DJ Fresh;2010;175;179;Solo;dancefloor dnb;0
Take Care;Drake;2011;122;277;Solo;canadian hip hop;1
The Motto;Drake;2011;202;182;Solo;canadian hip hop;1
Lights - Single Version;Ellie Goulding;2010;120;211;Solo;dance pop;1
Good Feeling;Flo Rida;2012;128;248;Solo;dance pop;0
Spectrum (Say My Name) - Calvin Harris Remix;Florence + The Machine;2012;126;218;Band;baroque pop;0
Lost;Frank Ocean;2012;123;234;Solo;alternative r&b;1
Thinkin Bout You;Frank Ocean;2012;130;201;Solo;alternative r&b;1
We Are Young (feat. Janelle Monáe);fun.;2012;184;251;Band;baroque pop;0
Some Nights;fun.;2012;108;277;Band;baroque pop;0
Somebody That I Used To Know;Gotye;2011;129;245;Solo;australian pop;1
Oblivion;Grimes;2012;156;251;Solo;art pop;0
Ass Back Home (feat. Neon Hitch);Gym Class Heroes;2011;130;222;Band;dance pop;0
I Love It (feat. Charli XCX);Icona Pop;2013;126;157;Duo;candy pop;0
It's Time;Imagine Dragons;2012;105;238;Band;modern rock;1
On Top Of The World;Imagine Dragons;2012;100;190;Band;modern rock;1
Ni**as In Paris;JAY-Z;2011;140;219;Solo;east coast hip hop;1
Boyfriend;Justin Bieber;2012;97;171;Solo;canadian pop;0
Mercy;Kanye West;2012;140;329;Solo;chicago rap;1
Brokenhearted;Karmin;2012;120;227;Duo;dance pop;0
The One That Got Away;Katy Perry;2012;134;227;Solo;dance pop;0
Part Of Me;Katy Perry;2012;130;216;Solo;dance pop;0
Swimming Pools (Drank) - Extended Version;Kendrick Lamar;2012;74;314;Solo;conscious hip hop;1
m.A.A.d city;Kendrick Lamar;2012;91;350;Solo;conscious hip hop;1
